GeoID,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
QN0503,94806.0,24155,18503,35644,4968,35677,12077,8369,6323,14189,14752,2.95,1001,1560.0,912
QN0504,100521.0,25082,18457,34443,5948,34891,12544,8121,9079,13521,15327,2.75,893,1589.0,1009
QN0601,86883.0,18622,15205,28198,5872,28213,12404,5129,11319,11003,13099,2.27,1015,1646.0,178
QN0602,108905.0,66105,47151,87148,17419,87668,39427,16941,41222,33479,40001,2.21,3322,1750.0,538
QN0701,83061.0,16911,13440,27718,4490,28404,8922,6375,4028,10987,11900,3.12,860,1696.0,744
QN0702,107799.0,21002,13789,27902,6557,28095,10070,5939,8123,10929,12515,2.77,1060,1763.0,1464
QN0703,103882.0,17327,10558,21959,6020,21990,10076,3987,8608,8306,10554,2.18,1010,2070.0,676
QN0704,75682.0,27952,25574,53272,10865,54051,19146,10541,9771,21687,24552,2.78,1684,1566.0,962
QN0705,70264.0,14295,14602,30065,6208,30137,10189,5980,5325,13076,13243,2.95,858,1439.0,583
QN0706,84588.0,10130,9903,20101,3164,20164,5860,4622,3864,8412,8454,3.44,367,1496.0,375
QN0707,57154.0,22939,28630,58830,11308,59788,22518,11494,9389,22991,28328,2.62,2993,1453.0,270
QN0801,90665.0,23810,16740,33135,5259,34292,11992,9716,9858,12681,14194,2.76,1347,1558.0,331
QN0802,78373.0,21579,17495,33356,5235,35756,11920,11074,7529,13406,16275,2.79,569,1215.0,541
QN0803,99373.0,15636,11819,22935,3857,22938,7920,4980,7865,9042,10207,2.89,410,1808.0,455
QN0804,111257.0,14833,12636,23030,4399,23806,8138,5742,8118,9529,10285,2.82,639,1586.0,637
QN0805,86932.0,21814,22027,39676,5996,40618,13413,9281,10934,16592,16912,2.95,718,1617.0,568
QN0901,95695.0,15317,12663,22268,3819,22376,9930,4881,8070,9070,9782,2.25,1307,1572.0,137
QN0902,87280.0,17918,17874,35314,3988,35709,9573,9148,5855,14167,14426,3.67,652,1514.0,593
QN0903,89869.0,10600,13147,23942,2580,24003,6121,5647,3733,10601,10080,3.92,324,1629.0,591
QN0904,87654.0,13127,12970,25393,2970,25477,6886,6832,3718,10132,10441,3.69,544,1551.0,381
QN0905,92330.0,22921,21252,40282,5229,40462,11334,9424,6954,16261,17001,3.57,912,1665.0,597
QN1001,97167.0,45726,42866,80345,10235,80664,21409,19520,11714,33138,34620,3.75,1879,1619.0,2781
QN1002,92631.0,14733,12307,23918,2654,23966,6955,6369,4195,9190,10554,3.44,514,1617.0,531
QN1003,102871.0,21045,13790,28072,6684,28308,10739,5942,5850,11381,12710,2.63,642,1635.0,1340
QN1101,95659.0,23077,16925,33254,6957,33671,11650,6758,9266,13883,14944,2.85,828,1772.0,1248
QN1102,112856.0,24623,17756,33819,6434,33904,12081,7871,11470,14031,14844,2.8,1129,1916.0,1435
QN1103,119550.0,18776,13119,25221,6370,25400,9792,4733,9627,10244,11523,2.57,557,2052.0,1209
QN1104,103493.0,18063,13027,25146,4810,25223,9865,5511,8069,9970,10972,2.55,615,1737.0,670
QN1201,67477.0,20158,28553,54859,6784,55604,16234,13584,8815,21185,23455,3.32,1017,1457.0,443
QN1202,77295.0,18647,21446,41814,5119,41994,11832,11679,4655,15185,18722,3.54,939,1338.0,996
QN1203,87948.0,24718,22172,41157,5092,41413,12245,10585,5557,15562,18229,3.36,848,1468.0,1071
QN1204,74508.0,22100,15277,30471,5532,30813,11759,8140,4734,10055,15106,2.58,650,1097.0,780
QN1205,97797.0,34267,27463,50765,7919,51429,15289,12557,8864,19551,23143,3.32,1037,1478.0,1674
QN1206,90657.0,13066,12520,22017,3371,22496,6883,5369,3904,9246,9647,3.21,586,1391.0,682
QN1301,108754.0,17608,11563,23640,6657,24631,9184,4393,8595,9888,11550,2.58,549,1652.0,1302
QN1302,109596.0,19350,13774,27074,4591,27643,8243,6619,6987,10850,11487,3.24,546,1726.0,1087
QN1303,95567.0,34209,30205,54341,8684,54705,15599,13587,9972,22185,24150,3.49,914,1446.0,1864
QN1304,116769.0,15259,11779,20996,4261,21032,6264,4577,5526,8254,9990,3.36,242,1621.0,1155
QN1305,110127.0,18385,13985,25766,4546,25941,8141,6270,5713,9920,12024,3.18,542,1610.0,1106
QN1306,102894.0,13738,11058,21286,3088,22239,5952,6295,3638,7614,9802,3.49,299,1765.0,649
QN1307,104020.0,19416,14695,26466,3724,26637,7850,6725,4627,9794,12708,3.39,477,1787.0,1236
QN1401,73672.0,29870,26930,60077,8457,62096,18787,18584,9993,20748,24951,3.19,1021,1297.0,823
QN1402,69984.0,21362,18944,40309,5120,41562,14278,11656,6255,14869,17256,2.8,1327,1002.0,358
QN1403,122699.0,18033,11581,23746,5596,24768,9717,5510,8272,10175,10314,2.4,2252,1418.0,789
SI0101,71373.0,9115,8050,16771,2907,17221,7151,3821,4200,6447,8082,2.31,1310,1166.0,220
SI0102,61155.0,6497,6021,14247,1811,15046,5339,4064,2370,5822,6263,2.69,999,1117.0,307
SI0103,76543.0,13740,10703,22582,3196,22783,8381,5675,4739,8967,9741,2.71,949,1116.0,812
SI0104,102421.0,24332,16588,33329,5239,34958,12625,9142,9417,13970,14728,2.64,1118,1374.0,1333
SI0105,119021.0,23390,15356,30574,5057,30635,10991,7061,8129,12830,12873,2.78,839,1439.0,1936
SI0106,73684.0,10507,8126,18466,1674,18557,6055,5532,2781,7114,7451,3.04,1066,1349.0,704
SI0107,82309.0,20165,14589,32608,3463,32780,10152,9332,5178,12467,13111,3.21,1201,1199.0,993
SI0201,99370.0,24556,16500,35199,5716,35918,12334,8265,8259,14020,15486,2.82,1001,1151.0,1470
SI0202,102810.0,19841,13367,27508,4365,27538,9785,6440,5869,11039,11926,2.81,848,1536.0,1428
SI0203,133261.0,22304,13497,29714,6501,31111,10015,7539,9080,11401,13900,2.94,952,1226.0,1612
SI0204,108367.0,31381,20515,42999,7008,43057,14947,10589,10291,16937,18252,2.88,739,1551.0,2076
SI0301,96984.0,15754,10560,20436,4029,20485,7889,4333,4192,8282,9198,2.59,455,1370.0,1283
SI0302,112619.0,43786,26513,54081,10481,54152,19633,12507,14676,21181,24028,2.75,1282,1603.0,3364
SI0303,109046.0,25020,15277,30774,4665,30900,10726,7554,7029,11703,13323,2.88,435,1242.0,1608
SI0304,136875.0,34120,20726,41375,6804,41418,13846,9475,10990,16711,16975,2.98,596,1339.0,3048
SI0305,127327.0,14569,8356,17499,2504,17646,6160,4689,4592,7000,7489,2.86,263,1240.0,1438
BK0261,136286.0,5,5,6,0,6,3,1,4,3,2,1.93,1,2971.0,0
BK1061,113960.0,934,663,1074,38,1264,335,572,391,496,391,3.21,41,3278.0,13
SI9561,92975.0,384,289,548,13,588,181,181,151,233,196,3.03,24,1962.0,0
QN1091,148021.0,4,3,5,1,5,2,1,1,2,2,2.99,0,1749.0,0
SI0191,78424.0,1,1,3,1,3,1,1,1,1,1,2.33,0,563.0,0
SI0291,103918.0,32,23,48,5,48,17,12,11,20,18,2.85,1,2066.0,2
SI9592,92853.0,18,13,28,3,28,10,7,4,10,12,2.84,1,1444.0,1
