LandUse,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,LotType,AssessLand,BuiltFAR,BoroCode,BBL,XCoord,YCoord,ZoneMap,Sanborn,TaxMap,PLUTOMapID,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Energy Use (kBtu),Latitude,Longitude,NTA,GeoID,ntaname,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
5,4707,27456,1,5.0,0,51.17,92.0,51.0,90.0,3,5,427950,5.83,1,1007140014,982609,210027,8b,103 041,10302,1,292.9807809,4847.090036,27456.0,99,53,111.8,1246.2,1174009.9,40.742971,-74.006027,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,17790,108768,1,6.0,0,97.92,184.0,98.0,181.0,3,4,2776500,6.11,1,1007670012,984281,209434,8d,103 033,10304,1,572.5685918,18489.17464,82599.0,117,77,133.4,17143.0,7867811.8,40.741066,-73.999682,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,17790,108768,1,6.0,0,97.92,184.0,98.0,181.0,3,4,2776500,6.11,1,1007670012,984281,209434,8d,103 033,10304,1,572.5685918,18489.17464,82599.0,117,73,144.5,31861.7,9350834.3,40.741066,-73.999682,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,6172,73611,1,12.0,0,62.5,98.75,63.0,99.0,3,5,1719000,11.93,1,1007970070,985527,209926,8d,103 030,10305,1,325.3740654,6306.446463,79745.0,109,70,135.2,260.7,5207611.1,40.742834,-73.994735,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,12961,66524,1,7.0,127,131.25,98.75,131.0,86.0,3,5,1525500,5.13,1,1007730027,985233,210606,8d,105S009,10304,1,462.3516943,13147.43115,62670.0,89,59,154.1,71315.0,8146285.3,40.744489,-73.996554,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,9826,122236,1,21.0,0,99.5,98.75,99.5,98.75,3,5,2250000,12.44,1,1008010071,985988,210893,8d,105S012,10305,1,391.7030554,9588.321688,122236.0,9,30,222.9,92685.9,15524810.3,40.745422,-73.992905,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,13506,57706,1,6.0,64,131.33,100.0,131.0,90.0,2,3,796500,4.27,1,1007410067,983308,210006,8b,103 037,10303,1,471.4171576,13598.98483,52706.0,81,56,124.3,41404.9,5172328.4,40.742974,-74.002432,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
2,9875,41100,3,5.0,60,100.0,98.75,100.0,82.0,3,5,580500,4.16,1,1007710014,984732,210250,8d,103 034,10304,1,399.661845,9982.608665,41100.0,99,85,101.7,23850.6,2983397.9,40.743523,-73.998243,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,23775,279392,1,14.0,252,116.0,197.5,116.0,197.5,3,5,3550500,11.75,1,1007570066,985339,213555,8d,105S020,10304,1,670.3268741,25464.28796,160386.0,89,44,154.9,116663.8,17788228.5,40.752877,-73.995113,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,7744,32384,1,6.0,42,75.0,103.25,75.0,90.0,3,5,607500,4.18,1,1007910062,984950,208554,8d,103 028,10305,1,365.4182081,8120.458686,32384.0,92,41,115.7,21721.1,2695287.0,40.739115,-73.996915,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,4740,25657,1,11.0,37,48.0,98.75,43.0,57.0,1,5,371700,5.41,1,1007540016,985083,212745,8d,105S019,10304,1,309.8342652,5079.151158,25657.0,32,80,108.9,12557.7,1782907.6,40.75025,-73.9966,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,4740,25657,1,11.0,37,48.0,98.75,43.0,57.0,1,5,371700,5.41,1,1007540016,985083,212745,8d,105S019,10304,1,309.8342652,5079.151158,25657.0,32,80,108.4,12558.3,1778054.4,40.75025,-73.9966,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,7406,49875,1,6.0,0,75.0,98.75,75.0,98.0,3,3,2196000,6.73,1,1007720047,985332,210328,8d,105S009,10304,1,358.9854953,7884.956805,44750.0,22,14,193.0,18954.8,4614168.1,40.744305,-73.996157,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
