BBL,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
4119720070,145375.0,80,75,5.4,0.6,40.684142,-73.801479,Baisley Park
3058990001,122583.0,89,57,8.7,0.4,40.630843,-74.01913,Bay Ridge
3041340020,103200.0,108,62,5.8,0.4,40.68618,-73.869625,Cypress Hills-City Line
3038020015,96000.0,69,64,3.4,0.5,40.665798,-73.897723,East New York (Pennsylvania Ave)
3057740001,110400.0,89,80,4.2,0.4,40.624611,-74.005378,Dyker Heights
3049040010,153600.0,98,38,6.6,0.6,40.648215,-73.946374,East Flatbush-Farragut
3070060001,96000.0,96,43,8.4,0.5,40.577217,-74.000194,Seagate-Coney Island
3013750012,86400.0,94,53,4.2,0,40.672005,-73.924329,Crown Heights North
3044770001,136800.0,60,43,4.6,0.7,40.666417,-73.876563,East New York
3084840001,84000.0,89,82,3.7,0.4,40.613353,-73.930129,Georgetown-Marine Park-Bergen Beach-Mill Basin
3069170001,96000.0,94,76,4.5,0,40.587616,-73.985948,Gravesend
3053620021,145200.0,94,87,4.2,0.4,40.634875,-73.981528,Borough Park
3066400013,105600.0,88,77,4.5,0.4,40.608862,-73.965058,Homecrest
3030600001,102000.0,55,86,2.9,0,40.707104,-73.945475,East Williamsburg
3031140011,106800.0,88,92,4,0,40.702392,-73.941801,East Williamsburg
3020280001,166800.0,62,93,4.8,0,40.696324,-73.97578,Fort Greene
3036360007,190800.0,89,88,4.2,0,40.656068,-73.907245,Brownsville
3009500024,104400.0,88,63,4.1,0,40.67634,-73.977367,Park Slope-Gowanus
3018190014,106800.0,57,90,3.1,0.3,40.686076,-73.945229,Bedford
3039490018,75600.0,41,62,6.7,0,40.67789,-73.889758,East New York
3001920013,154800.0,90,97,2.9,0.3,40.683559,-73.98027,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3032980001,211200.0,43,80,5.2,0.3,40.697781,-73.919777,Bushwick North
3067880001,303600.0,94,60,4.9,0,40.609912,-73.948512,Madison
3062710001,286800.0,88,82,7,0.4,40.613262,-74.003404,Bensonhurst West
3047420001,296400.0,90,70,4.1,0.5,40.648657,-73.922171,Rugby-Remsen Village
4019540037,142925.0,88,42,6.2,0.5,40.74056,-73.854131,Corona
4052010021,162476.0,61,49,7.3,0.4,40.75146,-73.817849,East Flushing
4124390032,51660.0,95,24,7.1,0,40.690828,-73.763907,St. Albans
4132220001,39960.0,94,32,4.7,0,40.671561,-73.734043,Rosedale
4029900045,116323.0,88,36,12.3,0.3,40.719071,-73.875437,Middle Village
4001850001,104500.0,88,46,7.4,0.6,40.745537,-73.923776,Hunters Point-Sunnyside-West Maspeth
4011840014,116431.0,82,32,6.1,0.1,40.753037,-73.900123,Woodside
4077740165,69905.0,62,64,3.4,0.6,40.736177,-73.753159,Oakland Gardens
4057340001,91325.0,64,92,3.5,0,40.783608,-73.794654,Ft. Totten-Bay Terrace-Clearview
4069030001,151325.0,59,83,4.1,0,40.737517,-73.794031,Fresh Meadows-Utopia
4097240173,152525.0,61,63,5.5,0,40.710024,-73.812508,Briarwood-Jamaica Hills
4002280020,195785.0,88,76,7.8,0.2,40.742205,-73.928219,Hunters Point-Sunnyside-West Maspeth
4117140100,250800.0,46,80,5.2,0.4,40.675771,-73.816938,South Ozone Park
4015380075,150175.0,25,53,10.6,0.4,40.739115,-73.882487,Elmhurst-Maspeth
4033540039,38030.0,88,24,11.8,0.5,40.710168,-73.827369,Kew Gardens
5033030018,46880.0,88,76,4.4,0.4,40.590562,-74.097704,Old Town-Dongan Hills-South Beach
5012180001,116500.0,92,72,5.9,0.4,40.63179,-74.156439,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5000220001,284857.0,115,47,7.4,0.2,40.644735,-74.081222,West New Brighton-New Brighton-St. George
5051530108,206951.0,48,92,3.2,0,40.545281,-74.14632,Great Kills
2036410001,97280.0,59,56,3.5,0,40.821409,-73.862976,Soundview-Castle Hill-Clason Point-Harding Park
2048230001,103280.0,87,42,6.1,0.5,40.892151,-73.861466,Williamsbridge-Olinville
2026310048,138175.0,64,83,3.8,0,40.822474,-73.907194,Morrisania-Melrose
2039480055,153725.0,67,54,5.1,0,40.837931,-73.853524,Parkchester
2023900001,117725.0,58,63,4,0,40.831827,-73.906607,Claremont-Bathgate
2023060054,159600.0,61,91,5,0.1,40.813983,-73.920782,Mott Haven-Port Morris
2025780027,201775.0,54,80,4.6,0,40.811162,-73.909804,Mott Haven-Port Morris
1002730001,109300.0,62,91,4.6,0,40.713273,-73.991339,Lower East Side
1019840033,151280.0,83,71,5.3,0.6,40.815256,-73.955325,Manhattanville
1011480014,171725.0,63,84,3.8,0,40.780822,-73.976855,Upper West Side
1018620011,136800.0,69,88,4,0,40.800119,-73.962837,Morningside Heights
1003940012,90080.0,79,78,4.9,0.5,40.727892,-73.978525,Lower East Side
1009260001,146575.0,65,91,4.2,0,40.736094,-73.980663,Gramercy
1016560100,192175.0,61,73,4.1,0,40.79307,-73.942303,East Harlem South
1002360038,95145.0,98,37,8.8,0.5,40.718903,-73.998438,SoHo-TriBeCa-Civic Center-Little Italy
1002450007,99700.0,53,95,5.7,0,40.711549,-73.986542,Lower East Side
1003430001,119519.0,44,71,5.3,0,40.718383,-73.984452,Lower East Side
1014300005,188400.0,64,94,3.2,0,40.77205,-73.958066,Lenox Hill-Roosevelt Island
1004080030,313980.0,109,85,4.2,0,40.717349,-73.989596,Chinatown
1021600018,408000.0,94,46,5.6,0,40.855855,-73.92712,Washington Heights North
1002890001,111725.0,41,76,5.7,0,40.714201,-73.995087,Chinatown
1003010003,207109.0,36,79,6.9,0,40.716553,-73.993092,Chinatown
1014710005,75980.0,69,35,14.5,0.2,40.770187,-73.953608,Lenox Hill-Roosevelt Island
2030690001,114080.0,81,44,5.3,0.7,40.848339,-73.89308,East Tremont
2029300001,127325.0,24,40,4.7,0.5,40.840891,-73.898166,Claremont-Bathgate
2026420001,103280.0,59,79,4.5,0,40.813728,-73.908886,Melrose South-Mott Haven North
2032160002,148900.0,119,79,6.7,0.4,40.854701,-73.913197,University Heights-Morris Heights
2024030001,108080.0,57,64,5,0,40.821515,-73.917279,Melrose South-Mott Haven North
2024460043,54175.0,116,88,4.3,0.4,40.827304,-73.91767,East Concourse-Concourse Village
2029490064,72080.0,109,75,4.9,0.4,40.842084,-73.891116,East Tremont
2030670001,144125.0,107,75,3.4,0.4,40.858692,-73.887214,Belmont
2032950001,134612.6,108,88,4.1,0.4,40.866827,-73.890725,Bedford Park-Fordham North
2049860081,94860.0,88,39,8,0,40.891732,-73.838471,Woodlawn-Wakefield
2035240020,54000.0,97,57,4.8,0.2,40.816693,-73.860904,Soundview-Castle Hill-Clason Point-Harding Park
2025040082,99600.0,93,30,4.9,0,40.832706,-73.926838,Highbridge
2031700001,182400.0,94,30,10.1,0.1,40.854872,-73.903458,Fordham South
2030240021,131644.0,87,62,5,0.5,40.858831,-73.895167,Fordham South
2024460043,188575.0,116,76,5.1,0,40.828696,-73.917668,East Concourse-Concourse Village
2053680001,418550.0,52,60,6.4,0.6,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park
2041330200,78000.0,41,70,9.9,0.3,40.842289,-73.838949,Van Nest-Morris Park-Westchester Square
2029830015,70230.0,49,27,17.4,0.2,40.836356,-73.888361,Crotona Park East
2028620014,202975.0,28,59,10.1,0,40.851823,-73.91118,University Heights-Morris Heights
2031000014,117400.0,24,96,5.5,0.1,40.850561,-73.883743,Belmont
2030580000,82880.0,21,35,11.7,0.2,40.858815,-73.890232,Belmont
2032780014,91200.0,21,22,11.1,0.4,40.864527,-73.887829,Bedford Park-Fordham North
3027870001,34800.0,104,43,7.9,0.4,40.710609,-73.946977,East Williamsburg
3020910003,110400.0,68,38,4.3,0,40.690765,-73.971376,Fort Greene
3003110001,93600.0,88,70,2.7,0.6,40.686951,-73.99806,Carroll Gardens-Columbia Street-Red Hook
3016740011,135600.0,70,79,3.6,0.6,40.681896,-73.935963,Stuyvesant Heights
3016160001,159600.0,64,74,4,0.4,40.691274,-73.933697,Stuyvesant Heights
3041260047,27600.0,130,83,6.3,0.4,40.683536,-73.87691,Cypress Hills-City Line
3072660040,88800.0,55,64,4.1,0.4,40.578255,-73.979628,West Brighton
3007920026,114000.0,111,70,5.6,0.3,40.64366,-74.008252,Sunset Park East
3058900001,116400.0,88,81,4.6,0.4,40.63402,-74.029036,Bay Ridge
3026880042,80400.0,119,78,3.4,0.3,40.723897,-73.942312,Greenpoint
3033170001,60000.0,88,87,4.3,0,40.697779,-73.916521,Bushwick North
3019260010,176400.0,51,82,3.2,0,40.692642,-73.958794,Clinton Hill
3010340001,39600.0,119,46,7,0.4,40.667545,-73.991046,Park Slope-Gowanus
3054160048,57180.0,86,82,5,0.4,40.63228,-73.973898,Flatbush
4096840008,68460.0,88,43,7,0.5,40.704072,-73.811771,Briarwood-Jamaica Hills
4007940017,58880.0,89,57,4.4,0.4,40.771512,-73.90633,Steinway
4035340012,129600.0,111,75,5.3,0.4,40.703779,-73.896374,Ridgewood
4034900001,150000.0,103,61,6,0.1,40.706041,-73.902584,Ridgewood
4099140001,114325.0,87,73,4.4,0.4,40.710624,-73.783423,Jamaica
4032700001,66060.0,94,38,4.3,0.9,40.715462,-73.843974,Forest Hills
4028790031,147600.0,88,50,9.8,0.2,40.733514,-73.877857,Elmhurst-Maspeth
4038460040,97200.0,91,17,15.6,0.3,40.704989,-73.8617,Glendale
4097230150,111680.0,83,49,5,0.1,40.709463,-73.813376,Briarwood-Jamaica Hills
4038120020,121375.0,92,64,5.7,0.4,40.704406,-73.875183,Glendale
4022840006,234800.0,93,67,5.8,0.3,40.741131,-73.918945,Hunters Point-Sunnyside-West Maspeth
3054450001,91200.0,84,74,4.8,0.5,40.629303,-73.979995,Borough Park
3067400025,82800.0,88,66,4.7,0.5,40.616632,-73.963476,Midwood
3042430001,104400.0,48,81,3.5,0.4,40.676513,-73.863151,Cypress Hills-City Line
3014230014,96000.0,80,55,4.4,0,40.663701,-73.936049,Crown Heights South
3069650140,186000.0,83,71,3.5,0.6,40.578188,-73.99203,Seagate-Coney Island
3001880014,109200.0,62,90,4.6,0,40.687466,-73.988288,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3032410037,123600.0,59,82,3.6,0.1,40.694921,-73.927931,Bushwick South
3085900650,62400.0,52,47,4.7,0,40.596145,-73.928793,park-cemetery-etc-Brooklyn
3068910001,183600.0,52,93,4.3,0,40.595341,-73.993457,Bensonhurst East
