LandUse,BldgArea,NumBldgs,NumFloors,ProxCode,LotType,BoroCode,BBL,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
5.0,66073,1,14.0,3.0,5.0,1,1007870070,986839,214002,8d,,105N034,10304.0,,1,,,19v2,,300.920066481,5088.41528814,66073.0,95,81,8.2,0.3,40.754131,-73.990276,Midtown-Midtown South
2.0,36300,1,5.0,1.0,5.0,2,2029980018,1016082,244575,3d,,216 007,21106.0,,1,,,19v2,,403.793837521,10188.4752119,38841.0,88,19,3.9,0.0,40.837715,-73.885395,Crotona Park East
5.0,37500,2,3.0,2.0,5.0,3,3017150103,996444,193382,13b,,303 056,30608.0,,1,,,19v2,,449.553013804,12472.0418362,37500.0,119,76,8.9,0.2,40.697718,-73.955812,Bedford
8.0,32500,1,2.0,1.0,5.0,2,2026190027,1009439,238576,6c,,210S013,21003.0,,1,,,19v2,,535.906945943,16970.6130704,36141.0,9,77,10.5,0.3,40.821166,-73.908854,Melrose South-Mott Haven North
6.0,27000,1,2.0,3.0,5.0,3,3007540017,980417,176302,16b,,306 004,30305.0,,1,,,19v2,,597.935004331,20001.5218675,18590.0,105,61,5.6,0.0,40.650867,-74.013835,Sunset Park West
5.0,55170,1,6.0,3.0,5.0,1,1006460032,982440,209287,8b,,103 039,10210.0,,1,,,19v2,,360.322696796,7906.48358211,44223.0,11,82,12.8,0.1,40.741256,-74.006117,West Village
5.0,97005,1,12.0,3.0,5.0,1,1008010051,986358,210688,8d,,105S012,10305.0,,1,,,19v2,,369.141781769,8474.04954416,84150.0,49,83,10.7,0.0,40.745096,-73.992133,Hudson Yards-Chelsea-Flatiron-Union Square
5.0,81706,1,12.0,3.0,5.0,1,1008370015,988140,212572,8d,,104 027,10306.0,,1,,,19v2,,379.573158466,8944.31716377,86200.0,117,26,17.7,0.7,40.749788,-73.985686,Midtown-Midtown South
6.0,581250,1,6.0,1.0,1.0,3,3007260001,980297,177326,16b,,306 004,30304.0,,1,,,19v2,,1833.86073524,148775.999922,581000.0,102,94,0.3,0.2,40.65396,-74.014409,Sunset Park West
4.0,30000,1,3.0,1.0,5.0,3,3030290105,1002039,198345,13b,,309 026,31004.0,,1,,,19v2,,411.651452544,10583.3776032,30000.0,99,86,5.7,0.1,40.710821,-73.935946,Bushwick South
8.0,117260,1,8.0,3.0,5.0,3,3031170024,1002049,195592,13b,,300 000,31005.0,,1,,,19v2,,638.733398743,22072.0749615,117260.0,18,35,10.1,0.4,40.703695,-73.935967,Bushwick South
3.0,42820,1,4.0,1.0,5.0,3,3031100010,1002594,195993,13b,,309 032,31005.0,,1,,,19v2,,471.344760643,13845.9325331,45817.0,88,50,7.0,0.2,40.70483,-73.933896,Bushwick South
4.0,32000,1,6.0,3.0,5.0,1,1006180028,984103,208368,8d,,103 031,10209.0,,1,,,19v2,,362.012931882,7985.58143422,32000.0,50,5,11.9,1.0,40.738758,-74.000195,West Village
4.0,53123,1,6.0,2.0,3.0,1,1007930001,984849,209071,8d,,103 029,10305.0,,1,,,19v2,,415.733139415,10794.7975481,53123.0,69,1,14.8,0.6,40.740605,-73.998174,Hudson Yards-Chelsea-Flatiron-Union Square
5.0,128965,2,12.0,3.0,5.0,1,1008260065,986725,210190,8d,,104 001,10306.0,,1,,,19v2,,409.716989325,10489.9062387,122821.0,106,89,10.1,0.0,40.743517,-73.990321,Hudson Yards-Chelsea-Flatiron-Union Square
3.0,42642,1,14.0,3.0,5.0,1,1011220022,990287,221588,8c,,106W026,10406.0,,1,,,19v2,,285.655736273,4081.44027128,43500.0,103,73,5.3,0.1,40.774627,-73.978164,Lincoln Square
3.0,244040,2,15.0,1.0,3.0,1,1012440072,989711,225680,5d,,107S016,10409.0,,1,,,19v2,,648.776690601,23018.6795825,240040.0,94,56,4.0,0.0,40.78576,-73.980146,Upper West Side
2.0,57054,7,3.0,1.0,5.0,3,3040270001,1015183,183767,17d,Y,308 005,31303.0,,1,,,19v2,,1191.48079743,78475.1705529,58766.0,36,23,6.5,0.7,40.671372,-73.888115,East New York
5.0,33275,1,16.0,3.0,5.0,1,1008610054,988841,211080,8d,,104 018,10306.0,,1,,,19v2,,257.589078092,2594.8532492,33275.0,11,63,10.9,0.6,40.746297,-73.983489,Midtown-Midtown South
5.0,126383,1,12.0,3.0,5.0,1,1008630029,989066,211426,8d,,104 018,10306.0,,1,,,19v2,,439.249175576,12009.9380576,122841.0,105,92,10.8,0.2,40.746972,-73.983124,Midtown-Midtown South
3.0,43100,1,6.0,3.0,5.0,1,1020890024,997419,239849,6a,,111S036,10710.0,,1,,,19v2,,417.070428687,10870.0426211,43100.0,107,96,3.4,0.0,40.824694,-73.952255,Hamilton Heights
5.0,62000,1,12.0,3.0,5.0,1,1008670009,989183,212585,8d,,104 030,10306.0,,1,,,19v2,,309.032382806,5401.44517372,55308.0,102,70,11.9,0.2,40.750013,-73.982369,Murray Hill-Kips Bay
5.0,74186,1,14.0,3.0,3.0,1,1008690061,989618,213075,8d,,104 030,10306.0,,1,,,19v2,,358.579587145,7095.25494764,66691.0,101,62,23.1,0.0,40.751432,-73.980301,Murray Hill-Kips Bay
2.0,38510,1,5.0,2.0,3.0,1,1021610055,1004315,251116,3a,,112 031,10803.0,,1,,,19v2,,405.10642602,10256.7372698,38510.0,96,31,4.9,0.0,40.855718,-73.927247,Washington Heights North
3.0,38935,1,6.0,2.0,5.0,3,3016280030,1004932,190807,17a,,305 012,30605.0,,1,,,19v2,,405.518940096,10277.7322712,41660.0,2,91,8.7,0.2,40.69055,-73.925902,Stuyvesant Heights
3.0,250220,1,32.0,1.0,3.0,1,1008980001,988333,207190,12c,,102 036,10308.0,,1,,,19v2,,601.287864753,20775.0411715,231220.0,46,44,7.2,0.0,40.735052,-73.985411,Gramercy
4.0,26496,1,9.0,3.0,5.0,1,1010070051,989808,217453,8c,,106W031,10401.0,,1,,,19v2,,298.038502342,4743.7912027,26496.0,107,27,4.5,0.8,40.763629,-73.979593,Midtown-Midtown South
3.0,74542,1,6.0,2.0,3.0,4,4092810046,1033165,195002,14b,Y,406 007,44002.0,,1,,,19v2,,629.459925083,22261.3710619,74542.0,7,85,5.2,0.4,40.701435,-73.823839,Richmond Hill
8.0,28117,1,9.0,3.0,5.0,1,1010200049,988310,216494,8c,,105N057,10402.0,,1,,,19v2,,281.330013287,3954.79615851,30085.0,116,6,18.0,0.4,40.760987,-73.984987,Midtown-Midtown South
4.0,239598,3,22.0,2.0,3.0,1,1012210029,992424,226898,5d,,107S029,10409.0,,1,,,19v2,,720.740634233,21315.4857667,208368.0,49,34,13.4,0.2,40.789096,-73.970384,Upper West Side
4.0,60500,1,7.0,2.0,3.0,1,1012350010,990847,226841,5d,,107S020,10409.0,,1,,,19v2,,397.987274254,9853.89949954,54000.0,119,42,5.6,0.1,40.789108,-73.97627,Upper West Side
4.0,214011,1,14.0,3.0,3.0,1,1012380046,991515,227488,5d,,107S027,10409.0,,1,,,19v2,,540.771122644,17407.4628972,214011.0,96,1,10.7,1.2,40.791188,-73.973463,Upper West Side
3.0,196293,1,15.0,2.0,3.0,1,1012400024,991722,227850,5d,,107S027,10409.0,,1,,,19v2,,571.943923669,19200.403736,196293.0,97,59,4.3,0.0,40.791748,-73.972802,Upper West Side
5.0,615000,1,21.0,3.0,3.0,1,1012590001,988999,214562,8d,,104 040,10501.0,,1,,,19v2,,891.458088383,49389.19232,615347.0,65,73,13.0,0.0,40.755651,-73.983516,Midtown-Midtown South
5.0,179513,1,20.0,3.0,3.0,1,1012600001,989044,214765,8d,,104 040,10501.0,,1,,,19v2,,416.762631269,10227.4208221,220045.0,93,54,13.6,0.1,40.75623,-73.98309,Midtown-Midtown South
3.0,33800,1,10.0,3.0,5.0,1,1013030045,991966,214468,8d,,104 049,10504.0,,1,,,19v2,,302.011852348,5046.6817665,33800.0,99,100,5.0,0.0,40.755673,-73.972377,Turtle Bay-East Midtown
5.0,85449,1,20.0,3.0,3.0,1,1013110050,992841,216398,8c,,106E044,10505.0,,1,,,19v2,,313.79724161,5529.32355842,63315.0,90,44,11.5,0.0,40.760822,-73.968898,Turtle Bay-East Midtown
3.0,326054,2,20.0,3.0,3.0,1,1014070033,995149,219900,8c,,108S003,10509.0,,1,,,19v2,,620.24317687,20872.8693249,274340.0,61,50,5.2,0.0,40.770135,-73.961497,Upper East Side-Carnegie Hill
3.0,45000,1,6.0,3.0,5.0,1,1020750043,998298,239776,6a,,111S037,10710.0,,1,,,19v2,,381.419677531,9031.30688343,45000.0,109,94,3.2,0.6,40.824893,-73.948909,Hamilton Heights
3.0,26495,1,7.0,2.0,5.0,1,1019450009,996361,233199,6a,,107N070,10706.0,,1,,,19v2,,310.841148331,5259.76056523,26495.0,118,10,3.8,0.0,40.806446,-73.956115,Central Harlem South
4.0,357785,1,23.0,1.0,3.0,1,1014650001,996367,218588,9a,Y,106E067,10512.0,,1,,,19v2,,949.103160334,36493.5102481,349355.0,40,90,5.9,0.3,40.766969,-73.956163,Lenox Hill-Roosevelt Island
3.0,71643,1,11.0,2.0,3.0,1,1014940023,995241,222851,8c,,108S010,10513.0,,1,,,19v2,,371.626564919,8614.8848056,78574.0,107,85,5.3,0.5,40.778094,-73.960254,Upper East Side-Carnegie Hill
3.0,107547,1,12.0,1.0,3.0,1,1014960054,995555,223400,8c,,108S021,10513.0,,1,,,19v2,,423.067084179,11153.3231864,110300.0,94,70,4.2,0.0,40.780073,-73.95909,Upper East Side-Carnegie Hill
4.0,62990,1,10.0,3.0,5.0,1,1015480036,997947,222384,9a,,108S026,10515.0,,1,,,19v2,,369.256971383,8339.60748028,64490.0,58,30,8.3,0.6,40.777476,-73.950819,Yorkville
2.0,34230,2,5.0,3.0,5.0,1,1021080035,1000791,242646,3b,,111N072,10801.0,,1,,,19v2,,394.86672565,9734.17822384,36797.0,109,94,3.0,0.7,40.832989,-73.940418,Washington Heights South
3.0,41874,1,6.0,2.0,5.0,1,1020980019,998460,241993,3b,,111N055,10710.0,,1,,,19v2,,408.948203719,10452.3838065,41874.0,93,83,5.0,0.1,40.830415,-73.948124,Hamilton Heights
3.0,45744,1,6.0,1.0,5.0,1,1020320043,1001026,239201,6a,,111N052,10709.0,,1,,,19v2,,428.216928148,11437.4674714,45744.0,99,45,5.2,0.7,40.823247,-73.938891,Central Harlem North-Polo Grounds
3.0,31670,1,6.0,3.0,5.0,1,1018930039,993178,232208,5d,,107S049,10703.0,,1,,,19v2,,359.196015453,7831.7429789,31670.0,98,61,5.0,0.0,40.803829,-73.967733,Morningside Heights
3.0,30896,1,6.0,1.0,5.0,1,1022420026,1006026,255845,3a,,112 064,10804.0,,1,,,19v2,,354.66887229,7677.70718345,30896.0,89,70,4.2,0.0,40.868716,-73.92114,Marble Hill-Inwood
5.0,160501,1,5.5,1.0,3.0,1,1019090033,999132,233515,6a,,107N087,10704.0,,1,,,19v2,,775.854366266,34493.4220246,160501.0,6,1,35.4,0.8,40.807877,-73.945747,Central Harlem South
3.0,27108,1,6.0,3.0,5.0,1,1020530058,999902,239951,6a,,111N050,10709.0,,1,,,19v2,,340.956365627,6732.73396026,27108.0,99,76,4.9,0.6,40.825423,-73.943738,Hamilton Heights
3.0,60114,1,6.0,2.0,5.0,3,3050630009,995274,177303,16d,,310 004,31601.0,,1,,,19v2,,475.065976067,14061.4564683,60114.0,84,18,3.4,1.2,40.653202,-73.960533,Flatbush
3.0,51792,1,12.0,3.0,5.0,1,1015080024,995817,221629,8c,,108S011,10514.0,,1,,,19v2,,335.574492756,6577.05304532,56500.0,104,81,5.1,0.0,40.774723,-73.958317,Upper East Side-Carnegie Hill
4.0,29846,1,6.0,2.0,3.0,3,3002680046,986530,191233,16c,,302 017,30107.0,,1,,,19v2,,296.813535533,5008.52779749,24846.0,119,73,9.4,0.2,40.69151,-73.991501,Brooklyn Heights-Cobble Hill
